 # TOTAL ENERGY,  ENERGY PER ORBITAL
  -6.6216380315630534      -0.82770475394538168     
  -4.4201471726319230      -0.55251839657899038     
  -4.6380782403067178      -0.57975978003833972     
  -4.6151175468005246      -0.57688969335006557     
  -4.6168697052181287      -0.57710871315226608     
  -4.6164341555840886      -0.57705426944801108     
  -4.6163503960961094      -0.57704379951201368     
  -4.6162958324584373      -0.57703697905730467     
  -4.6162700092461746      -0.57703375115577182     
  -4.6162569692033975      -0.57703212115042468     
  -4.6162504704313738      -0.57703130880392173     
  -4.6162472468682934      -0.57703090585853667     
  -4.6162456106334249      -0.57703070132917811     
  -4.6162448025433394      -0.57703060031791742     
  -4.6162443966423625      -0.57703054958029532     
  -4.6162442111165252      -0.57703052638956565     
  -4.6162440993977398      -0.57703051242471748     
  -4.6162440393134254      -0.57703050491417818     
  -4.6162440192847205      -0.57703050241059006     
